ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
27,CHOCO,27075,BAHÍA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO (MUTIS) - CHOCO),2022,5,72.895,25.205,167.27,Martes,2022 May 27 06:45:00 PM,23.92
27,CHOCO,27075,BAHÍA SOLANO (MUTIS),27075001,EL VALLE (BAHÍA SOLANO (MUTIS) - CHOCO),2022,5,164.833,68.266,344.26,Lunes,2022 May 03 08:00:00 PM,23.87
27,CHOCO,27372,JURADO,27372000,JURADO (JURADO - CHOCO),2022,5,173.706,73.275,324.48,Lunes,2022 May 30 07:15:00 PM,23.93
27,CHOCO,27099,BOJAYÁ (BELLAVISTA),27099000,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCO),2022,5,10.591,5.672,60.8,Miércoles,2022 May 16 07:00:00 PM,8.2
27,CHOCO,27075,BAHÍA SOLANO (MUTIS),27075001,MUTIS (BAHÍA SOLANO (MUTIS) - CHOCO),2022,5,714.719,260.059,,Lunes,2022 May 25 07:15:00 PM,23.88
27,CHOCO,27495,NUQUÍ,27495000,NUQUÍ (NUQUÍ - CHOCO),2022,5,257.578,105.758,508.64,Viernes,2022 May 27 07:00:00 PM,23.6
27,CHOCO,27077,BAJO BAUDÓ (PIZARRO),27077905,PILIZA (BAJO BAUDÓ (PIZARRO) - CHOCO),2022,5,6.763,6.146,35.2,Lunes,2022 May 16 07:00:00 PM,7.82
27,CHOCO,27077,BAJO BAUDÓ (PIZARRO),27077905,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCO),2022,5,218.269,100.015,469.92,Miércoles,2022 May 11 07:00:00 PM,22.23
27,CHOCO,27495,NUQUÍ,27495000,PUERTO JAGUA (NUQUÍ - CHOCO),2022,5,847.0,420.0,4.66,Miércoles,2022 May 25 07:30:00 PM,7.92
27,CHOCO,27006,ACANDÍ,27006000,SAN FRANCISCO (ACANDÍ - CHOCO),2022,5,2.59,1.089,31.78,Martes,2022 May 24 08:45:00 PM,3.58
27,CHOCO,27001,QUIBDÓ,27001029,TAGACHI (QUIBDÓ - CHOCO),2022,5,6.141,2.262,54.48,Lunes,2022 May 09 07:30:00 PM,5.5
27,CHOCO,27800,UNGUÍA,27800001,TITUMATE (UNGUÍA - CHOCO),2022,5,17.922,4.439,104.02,Domingo,2022 May 01 07:15:00 PM,8.17
27,CHOCO,27250,EL LITORAL DEL SAN JUAN,27250000,TOGOROMA PLAYA (EL LITORAL DEL SAN JUAN - CHOCO),2022,5,895.0,240.0,7.95,Jueves,2022 May 19 06:30:00 PM,5.02
27,CHOCO,27800,UNGUÍA,27800001,UNGUÍA (UNGUÍA - CHOCO),2022,5,430.371,143.541,902.35,Jueves,2022 May 12 09:15:00 PM,22.4
94,GUAINÍA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS (BARRANCO MINAS - GUAINÍA),2022,5,67.155,18.386,181.57,Martes,2022 May 03 06:45:00 PM,16.32
94,GUAINÍA,94001,INÍRIDA,94001000,INÍRIDA (INÍRIDA - GUAINÍA),2022,5,,645.033,,Martes,2022 May 03 02:30:00 PM,24.0
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES (MIRAFLORES - GUAVIARE),2022,5,90.318,31.378,206.36,Jueves,2022 May 12 07:15:00 PM,19.33
44,LA GUAJIRA,44847,URIBÍA,44847012,NAZARETH (URIBÍA - LA GUAJIRA),2022,5,45.811,0.0,189.74,Miércoles,2022 May 18 07:15:00 PM,12.1
47,MAGDALENA,47189,CIÉNAGA,47189018,PALMOR (CIÉNAGA - MAGDALENA),2022,5,76.093,26.666,172.93,Sábado,2022 May 21 08:00:00 PM,21.15
52,NARIÑO,52390,LA TOLA,52390005,AGUACATAL (LA TOLA - NARIÑO),2022,5,672.0,185.0,11.92,Martes,2022 May 31 07:15:00 PM,2.38
52,NARIÑO,52390,LA TOLA,52390005,AMARALES (LA TOLA - NARIÑO),2022,5,7.231,3.115,43.3,Jueves,2022 May 26 07:00:00 PM,7.33
52,NARIÑO,52250,EL CHARCO,52250023,BAZÁN (EL CHARCO - NARIÑO),2022,5,20.063,7.394,100.8,Martes,2022 May 24 06:45:00 PM,7.92
52,NARIÑO,52835,TUMACO,52835055,BOCAS DE CURAY (TUMACO - NARIÑO),2022,5,7.885,2.5,55.2,Martes,2022 May 31 07:30:00 PM,6.1
52,NARIÑO,52473,MOSQUERA,52473010,EL BAJITO DE ECHANDÍA (MOSQUERA - NARIÑO),2022,5,3.073,671.0,11.98,Jueves,2022 May 26 11:15:00 AM,10.82
52,NARIÑO,52696,SANTA BÁRBARA (ISCUANDÉ),52696022,LA ENSENADA (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2022,5,3.063,4.831,21.95,Jueves,2022 May 26 07:30:00 PM,5.35
52,NARIÑO,52390,LA TOLA,52390005,LA VIGÍA (LA TOLA - NARIÑO),2022,5,6.234,2.416,31.48,Domingo,2022 May 08 12:15:00 PM,8.5
52,NARIÑO,52250,EL CHARCO,52250023,LAS MERCEDES (EL CHARCO - NARIÑO),2022,5,1.836,589.0,12.86,Jueves,2022 May 26 08:45:00 PM,5.72
52,NARIÑO,52390,LA TOLA,52390005,MULATOS (LA TOLA - NARIÑO),2022,5,4.427,2.217,35.97,Lunes,2022 May 16 05:30:00 PM,6.32
52,NARIÑO,52250,EL CHARCO,52250023,SAN JOSÉ (EL CHARCO - NARIÑO),2022,5,14.134,3.676,80.0,Martes,2022 May 17 05:45:00 PM,8.63
52,NARIÑO,52835,TUMACO,52835055,SAN JUAN COSTA (TUMACO - NARIÑO),2022,5,20.64,7.946,121.6,Martes,2022 May 03 06:45:00 PM,7.87
52,NARIÑO,52390,LA TOLA,52390005,SAN PABLO DE LA MAR (LA TOLA - NARIÑO),2022,5,3.961,1.232,28.19,Martes,2022 May 17 06:45:00 PM,6.02
52,NARIÑO,52520,FRANCISCO PIZARRO,52520013,SAN PEDRO DEL VINO (FRANCISCO PIZARRO - NARIÑO),2022,5,4.682,2.405,28.51,Sábado,2022 May 21 08:00:00 PM,6.83
52,NARIÑO,52696,SANTA BÁRBARA (ISCUANDÉ),52696022,SECADERO (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2022,5,3.048,1.16,14.28,Jueves,2022 May 26 07:15:00 PM,9.07
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO),2022,5,3.728,1.627,25.6,Domingo,2022 May 22 07:00:00 PM,6.25
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573009,PUERTO LEGUÍZAMO (PUERTO LEGUÍZAMO - PUTUMAYO),2022,5,982.942,318.175,,Martes,2022 May 03 03:00:00 PM,23.98
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2022,5,81.388,28.005,213.84,Domingo,2022 May 01 08:30:00 PM,15.63
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,SAN FRANCISCO DE NAYA (BUENAVENTURA - VALLE DEL CAUCA),2022,5,6.098,2.552,33.63,Viernes,2022 May 27 11:45:00 AM,8.0
97,VAUPÉS,97161,CARURÚ,97161000,CARURÚ (CARURÚ - VAUPÉS),2022,5,28.056,8.46,96.54,Miércoles,2022 May 11 06:00:00 PM,12.45
97,VAUPÉS,97001,MITÚ,97001000,MITÚ (MITÚ - VAUPÉS),2022,5,,391.911,,Miércoles,2022 May 04 12:00:00 PM,24.0
97,VAUPÉS,97666,TARAIRA,97666000,TARAIRA (TARAIRA - VAUPÉS),2022,5,33.234,9.974,126.46,Miércoles,2022 May 11 06:30:00 PM,11.22
99,VICHADA,99001,PUERTO CARREÑO,99001002,CASUARITO (PUERTO CARREÑO - VICHADA),2022,5,24.622,9.578,120.38,Miércoles,2022 May 04 12:30:00 PM,8.6
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO (CUMARIBO - VICHADA),2022,5,324.08,137.209,700.48,Martes,2022 May 03 03:00:00 PM,23.93
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA (LA PRIMAVERA - VICHADA),2022,5,353.229,137.702,711.51,Miércoles,2022 May 04 06:30:00 PM,23.97
99,VICHADA,99001,PUERTO CARREÑO,99001002,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2022,5,,827.054,,Miércoles,2022 May 04 02:15:00 PM,23.97
99,VICHADA,99624,SANTA ROSALÍA,99624000,SANTA ROSALÍA (SANTA ROSALÍA - VICHADA),2022,5,144.726,73.964,363.5,Miércoles,2022 May 04 06:30:00 PM,18.4
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2022,4,,,,Miércoles,2022 Apr 27 03:15:00 PM,24.0
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2022,4,111.006,38.389,240.59,Martes,2022 Apr 05 06:45:00 PM,23.9
91,AMAZONAS,91798,TARAPACÁ,91798000,TARAPACÁ (TARAPACÁ - AMAZONAS),2022,4,20.7,9.568,82.64,Sábado,2022 Apr 09 06:30:00 PM,9.62
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873002,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2022,4,1.236,191.0,47.07,Jueves,2022 Apr 21 09:45:00 AM,1.4
